,1000[Hz],0.001,[msec],,é¸ä˙Ç™,1060,[us]
,,,,,,,
No,[usec],,,,,,
1,1.25,-0.000612125,MAX,0.001166518,,,
2,2.5,-0.000589204,MIN,-0.002564952,,,
3,3.75,-0.0005617,êUïùç≈ëÂ,-0.001398434,,,
4,5,-0.000534195,íÜä‘,-0.000699217,,,
5,6.25,-0.000525027,,,,,
6,7.5,-0.000525027,,,,,
7,8.75,-0.000515859,,,,,
8,10,-0.000502106,,,,,
9,11.25,-0.000479186,,,,,
10,12.5,-0.000460849,,,,,
11,13.75,-0.000442513,,,,,
12,15,-0.000433344,,,,,
13,16.25,-0.000419592,,,,,
14,17.5,-0.00040584,,,,,
15,18.75,-0.000382919,,,,,
16,20,-0.000373751,,,,,
17,21.25,-0.000359999,,,,,
18,22.5,-0.000355415,,,,,
19,23.75,-0.000341663,,,,,
20,25,-0.000332495,,,,,
21,26.25,-0.000318742,,,,,
22,27.5,-0.000314159,,,,,
23,28.75,-0.00030499,,,,,
24,30,-0.000295822,,,,,
25,31.25,-0.000272902,,,,,
26,32.5,-0.000254565,,,,,
27,33.75,-0.000240813,,,,,
28,35,-0.000227061,,,,,
29,36.25,-0.000222476,,,,,
30,37.5,-0.000222476,,,,,
31,38.75,-0.000208724,,,,,
32,40,-0.000194972,,,,,
33,41.25,-0.000176635,,,,,
34,42.5,-0.000172051,,,,,
35,43.75,-0.000162883,,,,,
36,45,-0.000153715,,,,,
37,46.25,-0.000139962,,,,,
38,47.5,-0.00012621,,,,,
39,48.75,-0.000107874,,,,,
40,50,-9.87E-05,,,,,
41,51.25,-9.41E-05,,,,,
42,52.5,-8.04E-05,,,,,
43,53.75,-6.20E-05,,,,,
44,55,-4.37E-05,,,,,
45,56.25,-3.45E-05,,,,,
46,57.5,-2.99E-05,,,,,
47,58.75,-2.08E-05,,,,,
48,60,2.15E-06,,,,,
49,61.25,2.51E-05,,,,,
50,62.5,4.34E-05,,,,,
51,63.75,5.26E-05,,,,,
52,65,6.17E-05,,,,,
53,66.25,6.63E-05,,,,,
54,67.5,8.01E-05,,,,,
55,68.75,8.92E-05,,,,,
56,70,0.000112164,,,,,
57,71.25,0.000116748,,,,,
58,72.5,0.000121332,,,,,
59,73.75,0.000125915,,,,,
60,75,0.000139668,,,,,
61,76.25,0.000167173,,,,,
62,77.5,0.000185509,,,,,
63,78.75,0.000194677,,,,,
64,80,0.000203846,,,,,
65,81.25,0.000213014,,,,,
66,82.5,0.000226767,,,,,
67,83.75,0.000240519,,,,,
